,max_strip,med_strip,x_pix,y_integ
300,34337105297.598454,34250976858.20303,300,3709955617506.9004
301,24444473403.380764,24292312166.197678,301,3260777097558.786
302,13837211005.584768,13616815448.343395,302,2780667668131.0977
303,2566388716.918051,2281525946.1486926,303,2279272042881.2275
304,9759588253.67298,9644320922.45741,304,2015188188489.9902
305,22207576348.222874,22076467709.853973,305,2117757966977.5857
306,35067437108.85726,34923273629.15284,306,2440307836076.883
307,48244015176.34178,48088007131.04335,307,2942049322254.162
308,61642808361.488266,61474861775.19276,308,3567065082458.329
309,75172343451.74602,74990780675.12476,309,4204314243975.0586
310,88744603589.1344,88546599417.04535,310,4840035721503.936
311,102273938530.41539,102056246253.12411,311,5470584649248.047
312,115675370155.52098,115435147322.81607,312,6092531206566.771
313,128863310798.07835,128598536328.16159,313,6702554696837.27
314,141751465735.55582,141462064321.35928,314,7297390326162.555
315,154254209442.71277,153941792486.50052,315,7873025502326.935
316,166289181028.22638,165956698664.5077,316,8425572502756.104
317,177780412470.88763,177431515288.96582,317,8951296560901.408
318,188661109980.14032,188299388197.8911,318,9446205989821.906
319,198875299925.7558,198503288536.45193,319,9909346464306.918
320,208377885900.97504,207997290708.4915,320,10339137743486.598
321,217133133867.3664,216744384310.73178,321,10730342297682.414
322,225112065618.42667,224714503355.82788,322,11080304236979.613
323,232289562030.49826,231881901997.5872,323,11387352163073.473
324,238642065875.9625,238223004424.39734,324,11650028099553.445
325,244146606112.7757,243715117896.31958,325,11867447513927.234
326,248781490740.42795,248337954853.3612,326,12038899551371.023
327,252528540202.44452,252074595725.1045,327,12164934005066.273
328,255376291362.64355,254914680858.3177,328,12244899333253.77
329,257323315731.41782,256857462067.43958,329,12279056136361.113
330,258380742477.48422,257914170109.08945,330,12268223494458.195
331,258573269387.6768,258108713392.7027,331,12214325048435.158
332,257938329393.57773,257477963754.32083,332,12117686544039.863
333,256523552674.22412,256068448233.8522,333,11980461645654.36
334,254383099614.81674,253933249724.95483,334,11805024376397.73
335,251573724648.0625,251128320453.50024,335,11594320356467.238
336,248151492079.65234,247709371443.13596,336,11351467979604.508
337,244169887461.38763,243729739827.882,337,11079483892260.086
338,239679698612.58447,239241188391.3001,338,10781409702449.57
339,234730575329.76596,234294281756.35568,339,10461459176572.256
340,229373737233.64337,228941144997.85223,340,10122804026843.758
341,223664999088.70572,223238245743.50797,341,9769474549196.715
342,217667199086.0537,217248646615.84012,342,9404548089560.76
343,211451267685.86346,211042704884.69672,343,9032823812779.938
344,205095521198.90967,204698407762.5721,344,8658138969397.795
345,198683215032.1853,198298078699.0201,345,8284929079005.953
346,192298831564.01282,191925177040.78067,346,7923717705935.647
347,186023896648.87543,185660343098.71722,347,7579356072362.715
348,179933237734.66815,179577848194.89398,348,7253548158043.243
349,174092486336.98303,173742904749.3521,349,6948345051340.962
350,168557315906.59937,168211893442.98044,350,6666633306402.287
351,163374471449.97452,163032279459.04855,351,6409655860374.685
352,158584199988.7714,158245145125.1819,352,6177787474216.524
353,154223345231.88593,153888060863.08817,353,5973562371428.857
354,150328213424.95813,149997758387.671,354,5795618448295.708
355,146936388300.8616,146611528589.3163,355,5644917945554.484
356,144086950763.0949,143768416849.35712,356,5522334317366.155
357,141818971415.09225,141506802714.47095,357,5426352911047.706
358,140168587835.82468,139861940192.70837,358,5358018924465.073
359,139165344257.37262,138862507151.79608,359,5316763878701.464
